"Control Information
",,,,,,,,,GovRAMP Parameters,,,Evidence Examples,Control Completed,Score,Month Last Passed,,PMO Feedback 202601,PMO Feedback 202510,PMO Feedback 202507,PMO Feedback 202504,PMO Feedback 202501,PMO Feedback 202410,PMO Feedback 202407,PMO Feedback 202404,PMO Feedback 202401
"Count
","SORT ID
",MITRE Control Protection Value,Score Percentage,Family,ID,Control Name,"NIST Control Description
 (From NIST SP 800-53r5 12/10/2020)","NIST Discussion
 (From NIST SP 800-53r5 12/10/2020)","GovRAMP-Defined Assignment / Selection Parameters 
 (Numbering matches SSP)",Additional GovRAMP Requirements and Guidance,,,,,,,,,,,,,,,
1,AC-02,99.64,3.44%,ACCESS CONTROL,AC-2,Account Management,"a. Define and document the types of accounts allowed and specifically prohibited for use within the system;
 b. Assign account managers;
 c. Require [Assignment: organization-defined prerequisites and criteria] for group and role membership;
 d. Specify:
 1. Authorized users of the system;
 2. Group and role membership; and
 3. Access authorizations (i.e., privileges) and [Assignment: organization-defined attributes (as required)] for each account;
 e. Require approvals by [Assignment: organization-defined personnel or roles] for requests to create accounts;
 f. Create, enable, modify, disable, and remove accounts in accordance with [Assignment: organization-defined policy, procedures, prerequisites, and criteria];
 g. Monitor the use of accounts;
 h. Notify account managers and [Assignment: organization-defined personnel or roles] within:
 1. [Assignment: organization-defined time period] when accounts are no longer required;
 2. [Assignment: organization-defined time period] when users are terminated or transferred; and
 3. [Assignment: organization-defined time period] when system usage or need-to-know changes for an individual;
 i. Authorize access to the system based on:
 1. A valid access authorization;
 2. Intended system usage; and
 3. [Assignment: organization-defined attributes (as required)];
 j. Review accounts for compliance with account management requirements [Assignment: organization-defined frequency];
 k. Establish and implement a process for changing shared or group account authenticators (if deployed) when individuals are removed from the group; and
 l. Align account management processes with personnel termination and transfer processes.","Examples of system account types include individual, shared, group, system, guest, anonymous, emergency, developer, temporary, and service. Identification of authorized system users and the specification of access privileges reflect the requirements in other controls in the security plan. Users requiring administrative privileges on system accounts receive additional scrutiny by organizational personnel responsible for approving such accounts and privileged access, including system owner, mission or business owner, senior agency information security officer, or senior agency official for privacy. Types of accounts that organizations may wish to prohibit due to increased risk include shared, group, emergency, anonymous, temporary, and guest accounts.
 Where access involves personally identifiable information, security programs collaborate with the senior agency official for privacy to establish the specific conditions for group and role membership; specify authorized users, group and role membership, and access authorizations for each account; and create, adjust, or remove system accounts in accordance with organizational policies. Policies can include such information as account expiration dates or other factors that trigger the disabling of accounts. Organizations may choose to define access privileges or other attributes by account, type of account, or a combination of the two. Examples of other attributes required for authorizing access include restrictions on time of day, day of week, and point of origin. In defining other system account attributes, organizations consider system-related requirements and mission/business requirements. Failure to consider these factors could affect system availability.
 Temporary and emergency accounts are intended for short-term use. Organizations establish temporary accounts as part of normal account activation procedures when there is a need for short-term accounts without the demand for immediacy in account activation. Organizations establish emergency accounts in response to crisis situations and with the need for rapid account activation. Therefore, emergency account activation may bypass normal account authorization processes. Emergency and temporary accounts are not to be confused with infrequently used accounts, including local logon accounts used for special tasks or when network resources are unavailable (may also be known as accounts of last resort). Such accounts remain available and are not subject to automatic disabling or removal dates. Conditions for disabling or deactivating accounts include when shared/group, emergency, or temporary accounts are no longer required and when individuals are transferred or terminated. Changing shared/group authenticators when members leave the group is intended to ensure that former group members do not retain access to the shared or group account. Some types of system accounts may require specialized training.","AC-2 (h) (1) [twenty-four (24) hours]
AC-2 (h) (2) [eight (8) hours]
AC-2 (h) (3) [eight (8) hours]
AC-2 (j) [quarterly for privileged access, annually for non-privileged access]",,,"• Documentation of allowed and prohibited account types
• Personnel policy and procedure
• List of account managers
• Access authorization records, emails, or helpdesk tickets
• Screenshot of recently disabled system accounts and the name of the individual associated with each account
• Account access termination records
• List of active system accounts along with the name of the individual associated with each account
• List of conditions for group and role membership
• Notifications of recent transfers, separations, or terminations of employees
• Account management compliance reviews
• User/system audit records",No,0.00%,,,"(a): Pass with Concerns: New evidence shows allowed types of accounts, but does not explicitly enumerate prohibited account types

(b): Pass with concerns: new evidence describes roles but formal designation language (e.g. ""Account Managers shall be..."") is still implied

(c): Pass 

(d): Pass with Concerns: RBAC is described, but attributes are not formerly defined.

(e): Fail: The policy mentions Jira and Director approval, but no approval workflow artifact is provided

(f): Fail: Policy text exist but no Procedure/ SOP document is attached or referenced as evidence.

(g): Fail: New evidence describes logging but no SIEM evidence is provided.

(h): Pass with Concerns: New evidence defines timelines but no notification evidence is shown. Provide supporting evidence of such notifications within the defined parameters.

(i): Pass

(j): Pass with Concerns: New evidence states the review cadence but no sample review record, attestation or SOC evidence screenshot is included. Provide evidence of such reviews.

(k): Fail: The Policy acknowledges shared accounts but no defined rotation or credential-change process exists. Define the process for changing the authenticators when an individual is removed from a group.

(l): Pass

NOTE: While the attached policy is tailored to align with NIST and GovRAMP requirements, there must be context tied to SaltyCloud for the processes that are defined in the policy. 

*response to part NOTE - in the policy, it includes sub sections that describe the way in which the policy is implemented. It is titled 'SaltyCloud Organizational Implementation Context.'","(a): Pass with Concerns: Include parameters for accounts specifically prohibited.

(b): Pass with Concerns: Define the roles/personnel representing account managers.

(c): Pass with Concerns: What are the conditions?

(d): Pass with Concerns: Specify access authorizations and defined attributes for each account.

(e): Fail: Who/what personnel or roles perform the approvals?

(f): Fail: Attach the policies and procedures that define the creation, enabling, modification, and disabling of accounts. 

(g): Fail: Provide evidence within the SIEM of account monitoring (logs).

(h): Pass with Concerns: Provide supporting evidence of such notifications within the defined parameters.

(i): Pass

(j): Pass with Concerns: Provide evidence of such reviews.

(k): Fail: Define the process for changing the authenticators when an individual is removed from a group.

(l): Pass

NOTE: While the attached policy is tailored to align with NIST and GovRAMP requirements, there must be context tied to SaltyCloud for the processes that are defined in the policy. ","No new evidence submitted as of 7/24/2025.
(a): Pass with Concerns: Include parameters for accounts specifically prohibited.

(b): Pass with Concerns: Define the roles/personnel representing account managers.

(c): Pass with Concerns: What are the conditions?

(d): Pass with Concerns: Specify access authorizations and defined attributes for each account.

(e): Fail: Who/what personnel or roles perform the approvals?

(f): Fail: Attach the policies and procedures that define the creation, enabling, modification, and disabling of accounts. 

(g): Fail: Provide evidence within the SIEM of account monitoring (logs).

(h): Pass with Concerns: Provide supporting evidence of such notifications within the defined parameters.

(i): Pass

(j): Pass with Concerns: Provide evidence of such reviews.

(k): Fail: Define the process for changing the authenticators when an individual is removed from a group.

(l): Pass

NOTE: While the attached policy is tailored to align with NIST and GovRAMP requirements, there must be context tied to SaltyCloud for the processes that are defined in the policy. ","No new evidence submitted as of 4/24/2025.
(a): Pass with Concerns: Include parameters for accounts specifically prohibited.

(b): Pass with Concerns: Define the roles/personnel representing account managers.

(c): Pass with Concerns: What are the conditions?

(d): Pass with Concerns: Specify access authorizations and defined attributes for each account.

(e): Fail: Who/what personnel or roles perform the approvals?

(f): Fail: Attach the policies and procedures that define the creation, enabling, modification, and disabling of accounts. 

(g): Fail: Provide evidence within the SIEM of account monitoring (logs).

(h): Pass with Concerns: Provide supporting evidence of such notifications within the defined parameters.

(i): Pass

(j): Pass with Concerns: Provide evidence of such reviews.

(k): Fail: Define the process for changing the authenticators when an individual is removed from a group.

(l): Pass

NOTE: While the attached policy is tailored to align with NIST and GovRAMP requirements, there must be context tied to SaltyCloud for the processes that are defined in the policy. ","No new evidence submitted as of 1/14/2025.
(a): Pass with Concerns: Include parameters for accounts specifically prohibited.

(b): Pass with Concerns: Define the roles/personnel representing account managers.

(c): Pass with Concerns: What are the conditions?

(d): Pass with Concerns: Specify access authorizations and defined attributes for each account.

(e): Fail: Who/what personnel or roles perform the approvals?

(f): Fail: Attach the policies and procedures that define the creation, enabling, modification, and disabling of accounts. 

(g): Fail: Provide evidence within the SIEM of account monitoring (logs).

(h): Pass with Concerns: Provide supporting evidence of such notifications within the defined parameters.

(i): Pass

(j): Pass with Concerns: Provide evidence of such reviews.

(k): Fail: Define the process for changing the authenticators when an individual is removed from a group.

(l): Pass

NOTE: While the attached policy is tailored to align with NIST and GovRAMP requirements, there must be context tied to SaltyCloud for the processes that are defined in the policy. ","(a): Pass with Concerns: Include parameters for accounts specifically prohibited.

(b): Pass with Concerns: Define the roles/personnel representing account managers.

(c): Pass with Concerns: What are the conditions?

(d): Pass with Concerns: Specify access authorizations and defined attributes for each account.

(e): Fail: Who/what personnel or roles perform the approvals?

(f): Fail: Attach the policies and procedures that define the creation, enabling, modification, and disabling of accounts. 

(g): Fail: Provide evidence within the SIEM of account monitoring (logs).

(h): Pass with Concerns: Provide supporting evidence of such notifications within the defined parameters.

(i): Pass

(j): Pass with Concerns: Provide evidence of such reviews.

(k): Fail: Define the process for changing the authenticators when an individual is removed from a group.

(l): Pass

NOTE: While the attached policy is tailored to align with NIST and GovRAMP requirements, there must be context tied to SaltyCloud for the processes that are defined in the policy. ",No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
2,AC-02 (01),77.82,2.69%,ACCESS CONTROL,AC-2 (1),Account Management | Automated System Account Management,Support the management of system accounts using [Assignment: organization-defined automated mechanisms].,"Automated system account management includes using automated mechanisms to create, enable, modify, disable, and remove accounts; notify account managers when an account is created, enabled, modified, disabled, or removed, or when users are terminated or transferred; monitor system account usage; and report atypical system account usage. Automated mechanisms can include internal system functions and email, telephonic, and text messaging notifications.",,,,"• Configuration settings between HR System of Record and Information System showing automated on-boarding/off boarding.
• Examples of automated email from HR System of Record to Account managers for on-boarding/off-boarding activities",Yes,2.69%,October-25,,"Pass with Concerns still present: While the new evidence demonstrates account existence and administrative access within AWS, it does not provide sufficient proof of automated onboarding and offboarding mechanisms tied to an automative HR source.",Pass with Concerns: Include further evidence from Gusto of automated procedures associated with onboarding/offboarding users.,Pass with Concerns still persist: Include further evidence from Gusto of automated procedures associated with onboarding/offboarding users.,Pass with Concerns still persist: Include further evidence from Gusto of automated procedures associated with onboarding/offboarding users.,Pass with Concerns still persist: Include further evidence from Gusto of automated procedures associated with onboarding/offboarding users.,Pass with Concerns: Include further evidence from Gusto of automated procedures associated with onboarding/offboarding users.,No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
3,AC-02 (07),84.68,2.92%,ACCESS CONTROL,AC-2 (7),Account Management | Privileged User Accounts,"a. Establish and administer privileged user accounts in accordance with [Selection: a role-based access scheme; an attribute-based access scheme];
b. Monitor privileged role or attribute assignments;
c. Monitor changes to roles or attributes; and
d. Revoke access when privileged role or attribute assignments are no longer appropriate.","Privileged roles are organization-defined roles assigned to individuals that allow those individuals to perform certain security-relevant functions that ordinary users are not authorized to perform. Privileged roles include key management, account management, database administration, system and network administration, and web administration. A role-based access scheme organizes permitted system access and privileges into roles. In contrast, an attribute-based access scheme specifies allowed system access and privileges based on attributes.",,,,"• Helpdesk ticket or email requesting privileged user access has been revoked when no longer appropriate due to role change or termination
• Details with evidence of the implemented access scheme
• Audit records of user account changes/activity",No,0.00%,,,"(a): Pass with Concerns: New evidence shows who the privileged users are but it still does not clearly define the specific privileges associated with each privileged role or permission.

(b): Pass with Concerns: New evidence shows general activity and not explicit monitoring of privileged account usage. Log events provided do not directly justify monitoring privileged accounts specifically.

(c): Fail: Provide evidence of monitoring changes to roles. 

(d): Fail: Provide evidence of access revocation for privileged roles when no longer applicable.","(a): Pass with Concerns: Define the privileges for admin users provided.

(b): Pass with Concerns: Log events provided do not directly justify monitoring privileged accounts specifically.

(c): Fail: Provide evidence of monitoring changes to roles. 

(d): Fail: Provide evidence of access revocation for privileged roles when no longer applicable.",No new evidence submitted as of 7/24/2025.,No new evidence submitted as of 4/24/2025.,No new evidence submitted as of 1/14/2025.,No evidence submitted as of 10/14/2024.,No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
4,AC-04,33.88,1.17%,ACCESS CONTROL,AC-4,Information Flow Enforcement,Enforce approved authorizations for controlling the flow of information within the system and between connected systems based on [Assignment: organization-defined information flow control policies].,"Information flow control regulates where information can travel within a system and between systems (in contrast to who is allowed to access the information) and without regard to subsequent accesses to that information. Flow control restrictions include blocking external traffic that claims to be from within the organization, keeping export-controlled information from being transmitted in the clear to the Internet, restricting web requests that are not from the internal web proxy server, and limiting information transfers between organizations based on data structures and content. Transferring information between organizations may require an agreement specifying how the information flow is enforced (see CA-3). Transferring information between systems in different security or privacy domains with different security or privacy policies introduces the risk that such transfers violate one or more domain security or privacy policies. In such situations, information owners/stewards provide guidance at designated policy enforcement points between connected systems. Organizations consider mandating specific architectural solutions to enforce specific security and privacy policies. Enforcement includes prohibiting information transfers between connected systems (i.e., allowing access only), verifying write permissions before accepting information from another security or privacy domain or connected system, employing hardware mechanisms to enforce one-way information flows, and implementing trustworthy regrading mechanisms to reassign security or privacy attributes and labels.
 Organizations commonly employ information flow control policies and enforcement mechanisms to control the flow of information between designated sources and destinations within systems and between connected systems. Flow control is based on the characteristics of the information and/or the information path. Enforcement occurs, for example, in boundary protection devices that employ rule sets or establish configuration settings that restrict system services, provide a packet-filtering capability based on header information, or provide a message-filtering capability based on message content. Organizations also consider the trustworthiness of filtering and/or inspection mechanisms (i.e., hardware, firmware, and software components) that are critical to information flow enforcement. Control enhancements 3 through 32 primarily address cross-domain solution needs that focus on more advanced filtering techniques, in-depth analysis, and stronger flow enforcement mechanisms implemented in cross-domain products, such as high-assurance guards. Such capabilities are generally not available in commercial off-the-shelf products. Information flow enforcement also applies to control plane traffic (e.g., routing and DNS).",,,,"• List of information flow authorizations and review 
• Screenshot of system configuration settings
• Information flow control policies/procedures
• System design documentation/diagrams",Yes,1.17%,January-26,,Pass,Pass,No new evidence submitted as of 7/24/2025.,No new evidence submitted as of 4/24/2025.,No new evidence submitted as of 1/14/2025.,No evidence submitted as of 10/14/2024.,No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
5,AC-06,92.27,3.18%,ACCESS CONTROL,AC-6,Least Privilege,"Employ the principle of least privilege, allowing only authorized accesses for users (or processes acting on behalf of users) that are necessary to accomplish assigned organizational tasks.","Organizations employ least privilege for specific duties and systems. The principle of least privilege is also applied to system processes, ensuring that the processes have access to systems and operate at privilege levels no higher than necessary to accomplish organizational missions or business functions. Organizations consider the creation of additional processes, roles, and accounts as necessary to achieve least privilege. Organizations apply least privilege to the development, implementation, and operation of organizational systems.",,,,"• List of authorized administrative users compared to non-administrative users
• List of the access authorizations (user privileges) assigned to different users/user types
• List of Service Accounts
• Evidence of user/system account right review",Yes,3.18%,October-25,,"Pass

 The new evidence provided demonstrates enforcement of least privilege for administrative access through AWS IAM and Google Cloud IAM controls. However, evidence does not fully demonstrate least privilege enforcement for non-administrative users, system processes or service account. This will remain a pass since the 10/25 evidence has not expired",Pass,Passed in previous review.,Passed in previous review.,Passed in previous review.,Pass,No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
6,AC-06 (02),92.27,3.18%,ACCESS CONTROL,AC-6 (2),Least Privilege | Non-privileged Access for Nonsecurity Functions,"Require that users of system accounts (or roles) with access to [Assignment: organization-defined security functions or security-relevant information] use non-privileged accounts or roles, when accessing nonsecurity functions.","Requiring the use of non-privileged accounts when accessing nonsecurity functions limits exposure when operating from within privileged accounts or roles. The inclusion of roles addresses situations where organizations implement access control policies, such as role-based access control, and where a change of role provides the same degree of assurance in the change of access authorizations for the user and the processes acting on behalf of the user as would be provided by a change between a privileged and non-privileged account.",AC-6 (2) [all security functions],"AC-6 (2) Guidance:  Examples of security functions include but are not limited to: establishing system accounts, configuring access authorizations (i.e., permissions, privileges), setting events to be audited, and setting intrusion detection parameters, system programming, system and security administration, other privileged functions.                            
",,• Evidence of privileged users having a non-privileged account for normal activities and a separate account for administrative functions,Yes,3.18%,January-26,,Pass,Pass,Passed in previous review.,Passed in previous review.,Passed in previous review.,Pass,No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
7,AC-06 (10),92.27,3.18%,ACCESS CONTROL,AC-6 (10),Least Privilege | Prohibit Non-privileged Users from Executing Privileged Functions,Prevent non-privileged users from executing privileged functions.,"Privileged functions include disabling, circumventing, or altering implemented security or privacy controls, establishing system accounts, performing system integrity checks, and administering cryptographic key management activities. Non-privileged users are individuals who do not possess appropriate authorizations. Privileged functions that require protection from non-privileged users include circumventing intrusion detection and prevention mechanisms or malicious code protection mechanisms. Preventing non-privileged users from executing privileged functions is enforced by AC-3.",,,,"• Evidence that non-privileged accounts do not have excess privileges allowing for administrative functions
• Screenshot of pop-up (or similar alert) blocking a non-privileged user from taking a privileged action",Yes,3.18%,January-26,,Pass,Pass,Passed in previous review.,Passed in previous review.,Passed in previous review.,Pass,No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
8,AC-17,30.86,1.07%,ACCESS CONTROL,AC-17,Remote Access,"a. Establish and document usage restrictions, configuration/connection requirements, and implementation guidance for each type of remote access allowed; and
b. Authorize each type of remote access to the system prior to allowing such connections.","Remote access is access to organizational systems (or processes acting on behalf of users) that communicate through external networks such as the Internet. Types of remote access include dial-up, broadband, and wireless. Organizations use encrypted virtual private networks (VPNs) to enhance confidentiality and integrity for remote connections. The use of encrypted VPNs provides sufficient assurance to the organization that it can effectively treat such connections as internal networks if the cryptographic mechanisms used are implemented in accordance with applicable laws, executive orders, directives, regulations, policies, standards, and guidelines. Still, VPN connections traverse external networks, and the encrypted VPN does not enhance the availability of remote connections. VPNs with encrypted tunnels can also affect the ability to adequately monitor network communications traffic for malicious code. Remote access controls apply to systems other than public web servers or systems designed for public access. Authorization of each remote access type addresses authorization prior to allowing remote access without specifying the specific formats for such authorization. While organizations may use information exchange and system connection security agreements to manage remote access connections to other systems, such agreements are addressed as part of CA-3. Enforcing access restrictions for remote access is addressed via AC-3.",,,,"• Screenshot of VPN settings
• Screenshot of user remote access authorization
• Procedures addressing remote access implementation and usage (including restrictions)
• Network architecture diagram
• Screenshot of network configuration settings ",Yes,1.07%,January-26,,"(a):Pass

(b): Pass","(a): Fail: Provide official documentation of established usage restrictions and configurations for remote access.

(b): Pass",No new evidence submitted as of 7/24/2025.,No new evidence submitted as of 4/24/2025.,No new evidence submitted as of 1/14/2025.,No evidence submitted as of 10/14/2024.,No evidence submitted as of 7/23/2024.,No evidence submitted as of 4/23/2024., 
9,AC-17 (02),30.86,1.07%,ACCESS CONTROL,AC-17 (2),Remote Access | Protection of Confidentiality and Integrity Using Encryption,Implement cryptographic mechanisms to protect the confidentiality and integrity of remote access sessions.,Virtual private networks can be used to protect the confidentiality and integrity of remote access sessions. Transport Layer Security (TLS) is an example of a cryptographic protocol that provides end-to-end communications security over networks and is used for Internet communications and online transactions.,,,,"Screenshot(s) reflecting encryption in place showing: 
• AES-256 Minimum Required Encryption Cipher Strength
• TLS 1.2 of higher (Compliant)
",Yes,1.07%,January-26,,Pass,Pass,"Passed in previous review.
NOTE: 
Evidence is valid for one year. Due to insufficient notification from the GovRAMP PMO, several expired controls will retain a passing grade for this cycle.  To maintain the current score, all expired/expiring evidence needs to be updated before the next review. See Tab 7_Expired Evidence Dashboard for an overview of expired controls. The highlighted controls will need to be refreshed in the next review cycle to avoid a reduced score.",Passed in previous review.,Passed in previous review.,Passed in previous review.,Passed in previous review., , 
